case_no,casetype,casesubtype,site_addr
CE01-1210,GW,,515 WAINWRIGHT #A
CE0305-0128,TD,,306 JAGOE ST
CE0402-0150,JV,,221 N ELM ST
CE1212-0616,ZONING,SIGNAGE,2548 LILLIAN MILLER PKWY SUITE
CE1212-0747,ZONING,SIGNAGE,1701 W UNIVERSITY DR
CE1212-0763,TRASHDEBRIS,RESIDENTIAL,1520 ANNA ST
CE1301-0001,TRASHDEBRIS,RESIDENTIAL,404 GABE CT
CE1301-0002,INOPERABLE VEHICLE,MOTOR VEHICLE,620 N FRAME ST
CE1301-0003,PARKING,SINGLE FAMILY,620 N FRAME ST
CE1301-0004,ZONING,UNRELATED PEOPLE,620 N FRAME ST
CE1301-0005,ZONING,HOME OCCUPATIONS,620 N FRAME ST
CE1301-0006,TRASHRECYCLE BINS,LOCATION,404 GABE CT
CE1301-0007,TRASHDEBRIS,RESIDENTIAL,2800 CLUBHOUSE DR
CE1301-0008,TRASHDEBRIS,RESIDENTIAL,2616 HOLLOW RIDGE DR
CE1301-0009,TRASHDEBRIS,RESIDENTIAL,2724 PINTO DR
CE1301-0010,TRASHDEBRIS,RESIDENTIAL,3303 FALLMEADOW ST
CE1301-0011,ILLEGAL DUMPING,CITY PROPERTY,3500 blk Teasley
CE1301-0012,OUTSIDE STORAGE,RESIDENTIAL,2521 ROBINWOOD LN
CE1301-0013,TRASHDEBRIS,RESIDENTIAL,2521 ROBINWOOD LN
CE1301-0014,OUTSIDE STORAGE,RESIDENTIAL,2603 ROBINWOOD LN
CE1301-0015,TRASHDEBRIS,RESIDENTIAL,2603 ROBINWOOD LN
CE1301-0016,PARKING,BLOCKING SIDEWALK,405 GARDENVIEW ST
CE1301-0017,OUTSIDE STORAGE,RESIDENTIAL,2602 ROBINWOOD LN
CE1301-0018,TRASHDEBRIS,RESIDENTIAL,2602 ROBINWOOD LN
CE1301-0019,TRASHDEBRIS,RESIDENTIAL,1226 CLOVER LN
CE1301-0020,TRASHDEBRIS,RESIDENTIAL,293 BENJAMIN DR
CE1301-0021,TRASHDEBRIS,RESIDENTIAL,2508 GLENWOOD LN
CE1301-0022,PARKING,SINGLE FAMILY,1220 CLOVER LN
